Publisher,Count
Simsquared Ltd.,1
Sirius Publishing,1
Ska Studios,1
Snood World,1
Snowcastle Games,1
Socialpoint,1
Socko! Entertainment,1
Soedesco,1
Softgold Computerspiele GmbH,1
Softkey,1
Softstar Entertainment Inc.,1
Software Projects,1
Soldak Entertainment,1
Sonnori,1
Sony Interactive Studios America,1
Sony Music Entertainment Japan,1
Sorath,1
SourceForge.net,1
Spiral Game Studios,1
Square,1
Star Vault,1
Strategic Simulations Inc.,1
Studio 3DO,1
Studio Mebius,1
Studio Pixel,1
StudioMDHR,1
Subtle Style,1
Sugeno,1
SummitSoft Entertainment,1
Sumo Digital,1
Sunflowers Interactive Entertainment Software,1
Sunspire Studios,1
Sunstorm Interactive,1
Suomen Kotijaatelo Oy,1
SuperCrit,1
Surprise Attack,1
Synergy Interactive,1
Synergy Interactive Crop.,1
System Erasure,1
THQ Inc.,1
THQ Valusoft,1
TQworld,1
TRI SYNERGY,1
TRI Synergy,1
Taito Corporation,1
Takara,1
Take 2,1
Take 2 Interactive and God Games,1
Take-Two Interactive Software,1
Tale of Tales,1
TalonSoft and Global Star Software,1
Tantrum Entertainment,1
Team Cherry,1
Team FK,1
Team Meat,1
Team Xonotic,1
Telegames,1
Terraglyph Interactive,1
Terrible Posture Games,1
Texel Raptor,1
The Adventure Company Coladia Games,1
The Fighter Collection,1
The Freeciv project,1
The Game Factory,1
The NetHack DevTeam,1
The Pokémon Company,1
The Project Reality Team,1
The Voyager Co.,1
TheMeatly Games,1
Thinking Machine Associates,1
Third Wave Games,1
Third-I Productions,1
Thomas Happ Games,1
Thompsonsoft,1
TicToc Games,1
Time Warner Electronic Publishing,1
Time Warner Interactive,1
TinyBuild,1
Titus Interactive,1
Titus Software,1
Toby Fox,1
TopWare InteractiveInterplay Entertainment,1
Toshiba-EMI,1
Totem Games,1
Traffic Software,1
Trapdoor,1
Trendy Entertainment,1
Triangle Studios,1
Tribute Games,1
Trilobyte,1
Trimark Interactive,1
Tripwire Interactive,1
Trisynergy,1
Triumph Studios,1
Tru Blu Entertainment,1
True GamesGoa,1
Turbine Entertainment Software,1
Turner Broadcasting System,1
Turtle Cream,1
Twilight Software,1
Tycoon Sistemas Ltda,1
U1 Technology,1
USC Interactive Media Division,1
UbisoftCyan WorldsGameTap,1
Unisonshift,1
Unistellar Industries,1
Universal Interactive,1
Universal Studios,1
VR Sports,1
VU Games,1
Valve Corporation,1
Vatical Entertainment LLC,1
Vblank Entertainment,1
Veggie Games Inc,1
Vertigo Games,1
VestelMerscom,1
Viable Software Alternatives,1
Viacom New Media,1
Video System,1
Vision Software,1
Visual Arts,1
Vivendi,1
Vivendi Universal Interactive Publishing,1
Volatile Games,1
VoxelStorm,1
Walt Disney Internet Group,1
Warner Bros. Games,1
Warner Bros. Interactive,1
Warner Brothers,1
Watanabe Seisakujo,1
Webfoot Technologies,1
Webzen Games,1
Westwood Studios,1
Whiptail Interactive,1
Widescreen Games,1
Wild Shadow Studios,1
Wildlife,1
Winch Gate,1
Windmill Software,1
Wizgate,1
Wolfire Games,1
Worldwide Biggies,1
Wube Software,1
Wyrmkeep Entertainment,1
Wyrmkeep Entertainment Co.,1
XXv Productions,1
Xilam,1
YNK Interactive,1
Yamitsu Tsuushin,1
Yedang,1
Yuto Group,1
ZOO Digital Group,1
ZUXXEZ Entertainment,1
Zachtronics Industries,1
Zed Two,1
Zoo Digital,1
Zordix,1
Zuxxez/TopWare Interactive,1
crea-ture Studios,1
eGenesis,1
game & game,1
gamescampus.com,1
iGames,1
iGames Publishing,1
icehole,1
tAAt,1
tinyBuild,1
